Phone Number,Call Outcome,Agent,Call Number
083473306392,NOT INTERESTED,orange,0
762850680150,CALL BACK LATER,orange,1
476309275079,NOT INTERESTED,orange,2
899921761538,CALL BACK LATER,red,3
906739234066,CALL BACK LATER,orange,4
112222295806,DEAD LINE,orange,5
631585844810,NOT INTERESTED,orange,6
611492586676,DEAD LINE,red,7
656565043793,NOT INTERESTED,orange,8
800543090846,CALL BACK LATER,green,9
568031927923,INTERESTED,blue,10
001590010071,INTERESTED,green,11
437813243888,NOT INTERESTED,orange,12
760807023465,CALL BACK LATER,black,13
209516994393,CALL BACK LATER,orange,14
549140541574,INTERESTED,red,15
209759093674,CALL BACK LATER,red,16
330516748999,CALL BACK LATER,black,17
535815495109,CALL BACK LATER,black,18
892977391596,DEAD LINE,red,19
141854498487,NOT INTERESTED,orange,20
570642382980,INTERESTED,green,21
098460537672,INTERESTED,red,22
420961192298,DEAD LINE,green,23
302316576144,INTERESTED,black,24
260744520869,NOT INTERESTED,orange,25
976542693663,CALL BACK LATER,red,26
770169781152,ANSWER MACHINE,orange,27
192616436885,NOT INTERESTED,orange,28
651794728435,CALL BACK LATER,red,29
110408008418,ANSWER MACHINE,orange,30
440484736402,ANSWER MACHINE,orange,31
537509886577,INTERESTED,black,32
012468977220,CALL BACK LATER,black,33
972404301527,NOT INTERESTED,black,34
762056057762,NOT INTERESTED,orange,35
644504122866,INTERESTED,red,36
921737508295,ANSWER MACHINE,orange,37
131484034149,CALL BACK LATER,orange,38
249918956255,CALL BACK LATER,blue,39
864877114515,NOT INTERESTED,orange,40
502736656742,NOT INTERESTED,orange,41
869760481345,CALL BACK LATER,orange,42
281074426663,CALL BACK LATER,red,43
897699247997,CALL BACK LATER,red,44
554105158080,INTERESTED,orange,45
459752065559,INTERESTED,red,46
717737533069,DEAD LINE,black,47
840475334698,NOT INTERESTED,green,48
916035173952,NOT INTERESTED,orange,49
096858758621,CALL BACK LATER,black,50
393136935928,CALL BACK LATER,red,51
222081028607,NOT INTERESTED,orange,52
505919978061,NOT INTERESTED,red,53
408738284821,ANSWER MACHINE,orange,54
939906367708,INTERESTED,orange,55
895690834780,CALL BACK LATER,red,56
902866538404,CALL BACK LATER,red,57
466264506627,INTERESTED,orange,58
548629282291,CALL BACK LATER,red,59
746984320569,CALL BACK LATER,orange,60
196435607006,CALL BACK LATER,red,61
492669844363,CALL BACK LATER,orange,62
891613602801,INTERESTED,blue,63
013074893931,NOT INTERESTED,black,64
048284566610,CALL BACK LATER,orange,65
276993523399,CALL BACK LATER,red,66
608548633071,INTERESTED,red,67
543870036246,CALL BACK LATER,red,68
895720673890,CALL BACK LATER,green,69
793782251135,ANSWER MACHINE,orange,70
109738525062,CALL BACK LATER,green,71
808805389129,CALL BACK LATER,black,72
668881553263,NOT INTERESTED,black,73
273895776648,NOT INTERESTED,orange,74
393081481011,ANSWER MACHINE,orange,75
036631269601,CALL BACK LATER,orange,76
257166830354,ANSWER MACHINE,green,77
114507312367,NOT INTERESTED,orange,78
095288471924,CALL BACK LATER,red,79
241090303278,CALL BACK LATER,red,80
665300309037,NOT INTERESTED,green,81
214288970239,NOT INTERESTED,black,82
614145811053,CALL BACK LATER,red,83
043727375708,NOT INTERESTED,orange,84
387809454561,ANSWER MACHINE,green,85
698064645617,CALL BACK LATER,orange,86
495376186080,ANSWER MACHINE,orange,87
606232987289,ANSWER MACHINE,orange,88
926959669225,NOT INTERESTED,black,89
210791228120,CALL BACK LATER,red,90
248842530247,NOT INTERESTED,black,91
868441654318,CALL BACK LATER,red,92
830820515791,ANSWER MACHINE,orange,93
749539537458,ANSWER MACHINE,black,94
529190842618,INTERESTED,green,95
688074788855,ANSWER MACHINE,red,96
124372086918,NOT INTERESTED,orange,97
663334774296,ANSWER MACHINE,orange,98
690179161001,ANSWER MACHINE,red,99
